Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
IBEX 35,"9.735,80","-0,28","9.786,30","9.717,30",,,11/04/2018,17:38
ABERTIS,"18,2400","0,16","18,2500","18,2050",4.310.977,"78.541,71",11/04/2018,Cierre
ACCIONA,"65,9400","-0,54","67,3000","65,6200",262.662,"17.394,69",11/04/2018,Cierre
ACERINOX,"11,5500","0,35","11,6550","11,4350",1.064.309,"12.314,56",11/04/2018,Cierre
ACS,"33,0000","-0,45","33,3000","32,9200",800.587,"26.486,00",11/04/2018,Cierre
AENA,"171,6500","0,91","171,8000","169,8500",3.143.570,"537.441,06",11/04/2018,Cierre
AMADEUS,"61,5800","-0,71","62,1200","61,1600",498.132,"30.694,49",11/04/2018,Cierre
ARCELORMIT.,"25,9050","-1,50","26,5000","25,9000",272.452,"7.129,08",11/04/2018,Cierre
BA.SABADELL,"1,7095","0,97","1,7190","1,6800",12.639.668,"21.607,90",11/04/2018,Cierre
BA.SANTANDER,"5,3230","-0,49","5,3730","5,3070",31.697.803,"168.929,63",11/04/2018,Cierre
BANKIA,"3,7260","0,11","3,7540","3,7090",31.335.765,"117.150,55",11/04/2018,Cierre
BANKINTER,"8,3920","-0,24","8,4500","8,3800",1.553.729,"13.060,10",11/04/2018,Cierre
BBVA,"6,3480","-1,14","6,4310","6,3400",151.503.776,"971.300,73",11/04/2018,Cierre
CAIXABANK,"3,9150","0,36","3,9490","3,9020",109.035.887,"429.822,87",11/04/2018,Cierre
CELLNEX,"23,5800","2,88","23,7100","22,8600",1.355.587,"31.699,52",11/04/2018,Cierre
DIA,"3,5260","0,03","3,5900","3,4900",3.059.043,"10.795,67",11/04/2018,Cierre
ENAGAS,"22,9300","1,01","22,9800","22,7000",1.176.656,"26.854,16",11/04/2018,Cierre
ENDESA,"17,9000","-0,72","18,0400","17,8800",991.827,"17.784,19",11/04/2018,Cierre
FERROVIAL,"17,3500","-0,37","17,4350","17,2300",816.859,"14.164,81",11/04/2018,Cierre
GAS NATURAL,"19,9500","1,01","19,9850","19,6950",1.240.825,"24.711,52",11/04/2018,Cierre
GRIFOLS CL.A,"22,9800","-0,61","23,4400","22,9100",513.251,"11.866,44",11/04/2018,Cierre
IAG,"7,0540","-2,05","7,2220","6,9700",1.859.444,"13.147,14",11/04/2018,Cierre
IBERDROLA,"6,1340","1,76","6,1600","6,0340",32.655.120,"198.493,39",11/04/2018,Cierre
INDITEX,"25,4200","-0,90","25,7200","25,2900",3.367.804,"85.594,88",11/04/2018,Cierre
INDRA A,"11,1800","-0,09","11,2800","11,0900",417.590,"4.663,89",11/04/2018,Cierre
INM.COLONIAL,"9,1800","-2,65","9,4000","9,0800",1.868.803,"17.198,48",11/04/2018,Cierre
MAPFRE,"2,7220","-0,73","2,7440","2,7190",2.033.470,"5.546,29",11/04/2018,Cierre
MEDIASET,"8,1060","-0,59","8,2480","8,0780",1.459.405,"11.875,95",11/04/2018,Cierre
MELIA HOTELS,"11,3800","-0,78","11,5900","11,3400",373.436,"4.279,82",11/04/2018,Cierre
MERLIN,"12,4000","0,61","12,4250","12,3000",1.112.955,"13.795,03",11/04/2018,Cierre
R.E.C.,"16,5200","1,10","16,5300","16,3000",1.141.787,"18.807,71",11/04/2018,Cierre
REPSOL,"15,4000","0,69","15,4500","15,1950",6.490.892,"99.590,91",11/04/2018,Cierre
SIEMENS GAME,"13,3500","-2,41","13,7000","13,3400",2.044.180,"27.458,16",11/04/2018,Cierre
TEC.REUNIDAS,"25,3300","0,76","25,4900","25,2300",325.370,"8.242,20",11/04/2018,Cierre
TELEFONICA,"8,1690","-0,33","8,2490","8,1600",19.297.422,"158.172,44",11/04/2018,Cierre
VISCOFAN,"55,1500","-1,43","55,8000","54,7000",104.594,"5.764,79",11/04/2018,Cierre
IBEX 35,"9.727,60","-0,08","9.736,00","9.723,50",,,12/04/2018,09:00
ABERTIS,"18,2300","-0,05","18,2450","18,2300",276.434,"5.042,14",12/04/2018,09:00
ACCIONA,"65,6400","-0,45","65,7200","65,6400",535,"35,16",12/04/2018,09:00
ACERINOX,"11,5350","-0,13","11,5350","11,5350",6.116,"70,55",12/04/2018,09:00
ACS,"33,0300","0,09","33,0300","33,0300",9.244,"305,33",12/04/2018,09:00
AENA,"171,3500","-0,17","171,3500","171,3500",1.558,"266,96",12/04/2018,09:00
AMADEUS,"61,5800","0,00","61,7600","61,5400",9.861,"606,93",12/04/2018,09:00
ARCELORMIT.,"25,7800","-0,48","25,7800","25,7500",3.819,"98,35",12/04/2018,09:00
BA.SABADELL,"1,7145","0,29","1,7145","1,7100",394.566,"674,76",12/04/2018,09:00
BA.SANTANDER,"5,3300","0,13","5,3300","5,3210",332.213,"1.767,80",12/04/2018,09:00
BANKIA,"3,7190","-0,19","3,7200","3,7190",55.872,"207,84",12/04/2018,09:00
BANKINTER,"8,3780","-0,17","8,3780","8,3780",7.582,"63,52",12/04/2018,09:00
BBVA,"6,3470","-0,02","6,3500","6,3340",156.700,"994,49",12/04/2018,09:00
CAIXABANK,"3,9080","-0,18","3,9220","3,9080",138.023,"540,10",12/04/2018,09:00
CELLNEX,"23,5800","0,00","23,5800","23,5600",6.295,"148,31",12/04/2018,09:00
DIA,"3,5170","-0,26","3,5170","3,5170",23.356,"82,14",12/04/2018,09:00
ENAGAS,"22,9500","0,09","22,9500","22,9400",21.947,"503,47",12/04/2018,09:00
ENDESA,"17,7750","-0,70","17,8250","17,7750",144.088,"2.568,31",12/04/2018,09:00
FERROVIAL,"17,3500","0,00","17,3500","17,3150",13.885,"240,44",12/04/2018,09:00
GAS NATURAL,"19,9350","-0,08","20,0000","19,9350",21.710,"434,17",12/04/2018,09:00
GRIFOLS CL.A,"22,9900","0,04","22,9900","22,9900",5.076,"116,70",12/04/2018,09:00
IAG,"7,0460","-0,11","7,0460","7,0460",39.580,"278,88",12/04/2018,09:00
IBERDROLA,"6,1360","0,03","6,1480","6,1360",150.582,"925,70",12/04/2018,09:00
INDITEX,"25,1500","-1,06","25,3600","25,1500",81.272,"2.057,76",12/04/2018,09:00
INDRA A,"11,1500","-0,27","11,1500","11,1500",1.457,"16,25",12/04/2018,09:00
INM.COLONIAL,"9,1900","0,11","9,1900","9,1850",22.946,"210,76",12/04/2018,09:00
MAPFRE,"2,7350","0,48","2,7350","2,7350",37.108,"101,49",12/04/2018,09:00
MEDIASET,"8,1000","-0,07","8,1060","8,1000",12.382,"100,36",12/04/2018,09:00
MELIA HOTELS,"11,3800","0,00","11,3800","11,3800",10.861,"123,60",12/04/2018,09:00
MERLIN,"12,3900","-0,08","12,3900","12,3750",12.360,"153,07",12/04/2018,09:00
R.E.C.,"16,5900","0,42","16,5900","16,5900",24.125,"400,23",12/04/2018,09:00
REPSOL,"15,4550","0,36","15,4550","15,4300",243.723,"3.761,09",12/04/2018,09:00
SIEMENS GAME,"13,3600","0,07","13,3600","13,3400",9.547,"127,36",12/04/2018,09:00
TEC.REUNIDAS,"25,3300","0,00","25,3300","25,3300",486,"12,31",12/04/2018,09:00
TELEFONICA,"8,1670","-0,02","8,1670","8,1520",105.333,"859,92",12/04/2018,09:00
VISCOFAN,"55,1000","-0,09","55,1000","55,1000",2.366,"130,37",12/04/2018,09:00
IBEX 35,"9.738,90","0,03","9.739,80","9.723,50",,,12/04/2018,09:01
ABERTIS,"18,2450","0,03","18,2450","18,2300",291.122,"5.310,12",12/04/2018,09:01
ACCIONA,"65,6400","-0,45","65,7200","65,6400",535,"35,16",12/04/2018,09:00
ACERINOX,"11,5350","-0,13","11,5350","11,5350",6.116,"70,55",12/04/2018,09:00
ACS,"33,1200","0,36","33,1300","33,0300",9.858,"325,67",12/04/2018,09:01
AENA,"171,3500","-0,17","171,3500","171,3500",1.558,"266,96",12/04/2018,09:00
AMADEUS,"61,7400","0,26","61,7600","61,5400",10.335,"636,18",12/04/2018,09:01
ARCELORMIT.,"25,8800","-0,10","25,8800","25,7500",8.125,"209,50",12/04/2018,09:01
BA.SABADELL,"1,7165","0,41","1,7165","1,7100",399.997,"684,07",12/04/2018,09:01
BA.SANTANDER,"5,3420","0,36","5,3430","5,3210",411.054,"2.188,58",12/04/2018,09:01
BANKIA,"3,7280","0,05","3,7280","3,7190",56.284,"209,38",12/04/2018,09:01
BANKINTER,"8,3780","-0,17","8,3780","8,3780",7.582,"63,52",12/04/2018,09:00
BBVA,"6,3540","0,09","6,3570","6,3340",164.033,"1.041,11",12/04/2018,09:01
CAIXABANK,"3,9170","0,05","3,9220","3,9080",141.792,"554,86",12/04/2018,09:01
CELLNEX,"23,5000","-0,34","23,5800","23,5000",10.393,"244,76",12/04/2018,09:01
DIA,"3,5170","-0,26","3,5170","3,5170",23.356,"82,14",12/04/2018,09:00
ENAGAS,"22,9500","0,09","22,9500","22,9400",21.947,"503,47",12/04/2018,09:00
ENDESA,"17,8200","-0,45","17,8250","17,7750",144.188,"2.570,09",12/04/2018,09:01
FERROVIAL,"17,3100","-0,23","17,3500","17,3100",14.181,"245,56",12/04/2018,09:01
GAS NATURAL,"19,9350","-0,08","20,0000","19,9350",21.710,"434,17",12/04/2018,09:00
GRIFOLS CL.A,"22,9900","0,04","22,9900","22,9900",5.076,"116,70",12/04/2018,09:00
IAG,"7,0500","-0,06","7,0500","7,0460",41.076,"289,43",12/04/2018,09:01
IBERDROLA,"6,1360","0,03","6,1480","6,1360",150.582,"925,70",12/04/2018,09:00
INDITEX,"25,3100","-0,43","25,3600","25,1500",82.051,"2.077,44",12/04/2018,09:01
INDRA A,"11,1700","-0,09","11,1800","11,1500",2.215,"24,72",12/04/2018,09:01
INM.COLONIAL,"9,1900","0,11","9,1900","9,1850",22.946,"210,76",12/04/2018,09:00
MAPFRE,"2,7350","0,48","2,7350","2,7350",37.108,"101,49",12/04/2018,09:00
MEDIASET,"8,0900","-0,20","8,1060","8,0900",12.570,"101,88",12/04/2018,09:01
MELIA HOTELS,"11,3800","0,00","11,3800","11,3800",10.861,"123,60",12/04/2018,09:00
MERLIN,"12,3900","-0,08","12,3900","12,3750",12.360,"153,07",12/04/2018,09:00
R.E.C.,"16,5900","0,42","16,5900","16,5900",24.125,"400,23",12/04/2018,09:00
REPSOL,"15,4450","0,29","15,4550","15,4300",244.423,"3.771,90",12/04/2018,09:01
SIEMENS GAME,"13,3600","0,07","13,3600","13,3400",10.717,"142,99",12/04/2018,09:01
TEC.REUNIDAS,"25,3300","0,00","25,3300","25,3300",486,"12,31",12/04/2018,09:00
TELEFONICA,"8,1690","0,00","8,1690","8,1520",154.827,"1.264,23",12/04/2018,09:01
VISCOFAN,"55,1500","0,00","55,1500","55,1000",2.378,"131,03",12/04/2018,09:01
IBEX 35,"9.741,40","0,06","9.741,80","9.723,50",,,12/04/2018,09:02
ABERTIS,"18,2400","0,00","18,2450","18,2300",292.679,"5.338,52",12/04/2018,09:02
ACCIONA,"65,6400","-0,45","65,7200","65,6400",535,"35,16",12/04/2018,09:00
ACERINOX,"11,5350","-0,13","11,5350","11,5350",6.116,"70,55",12/04/2018,09:00
ACS,"33,1200","0,36","33,1300","33,0300",9.858,"325,67",12/04/2018,09:01
AENA,"171,3500","-0,17","171,3500","171,3500",1.558,"266,96",12/04/2018,09:00
AMADEUS,"61,7200","0,23","61,7600","61,5400",10.651,"655,68",12/04/2018,09:02
ARCELORMIT.,"25,8800","-0,10","25,8800","25,7500",8.125,"209,50",12/04/2018,09:01
BA.SABADELL,"1,7165","0,41","1,7165","1,7100",399.997,"684,07",12/04/2018,09:01
BA.SANTANDER,"5,3410","0,34","5,3440","5,3210",504.074,"2.685,46",12/04/2018,09:02
BANKIA,"3,7280","0,05","3,7280","3,7190",56.284,"209,38",12/04/2018,09:01
BANKINTER,"8,3780","-0,17","8,3780","8,3780",7.582,"63,52",12/04/2018,09:00
BBVA,"6,3570","0,14","6,3590","6,3340",179.792,"1.141,30",12/04/2018,09:02
CAIXABANK,"3,9170","0,05","3,9220","3,9080",141.792,"554,86",12/04/2018,09:01
CELLNEX,"23,5100","-0,30","23,5800","23,5000",10.484,"246,90",12/04/2018,09:02
DIA,"3,5070","-0,54","3,5170","3,5070",27.849,"97,92",12/04/2018,09:02
ENAGAS,"22,9500","0,09","22,9500","22,9400",22.086,"506,66",12/04/2018,09:02
ENDESA,"17,7750","-0,70","17,8250","17,7500",147.436,"2.627,80",12/04/2018,09:02
FERROVIAL,"17,3000","-0,29","17,3500","17,2950",16.683,"288,86",12/04/2018,09:02
GAS NATURAL,"19,9350","-0,08","20,0000","19,9350",21.760,"435,16",12/04/2018,09:02
GRIFOLS CL.A,"22,9900","0,04","22,9900","22,9900",5.076,"116,70",12/04/2018,09:00
IAG,"7,0520","-0,03","7,0520","7,0460",41.842,"294,83",12/04/2018,09:02
IBERDROLA,"6,1440","0,16","6,1480","6,1360",161.694,"993,99",12/04/2018,09:02
INDITEX,"25,2600","-0,63","25,3600","25,1500",89.338,"2.261,68",12/04/2018,09:01
INDRA A,"11,1700","-0,09","11,1800","11,1500",2.215,"24,72",12/04/2018,09:01
INM.COLONIAL,"9,1900","0,11","9,1900","9,1850",22.946,"210,76",12/04/2018,09:00
MAPFRE,"2,7350","0,48","2,7350","2,7350",37.108,"101,49",12/04/2018,09:00
MEDIASET,"8,0860","-0,25","8,1060","8,0860",13.030,"105,60",12/04/2018,09:02
MELIA HOTELS,"11,3800","0,00","11,3800","11,3800",10.861,"123,60",12/04/2018,09:00
MERLIN,"12,3900","-0,08","12,3900","12,3750",12.360,"153,07",12/04/2018,09:00
R.E.C.,"16,5900","0,42","16,5900","16,5900",24.125,"400,23",12/04/2018,09:00
REPSOL,"15,4450","0,29","15,4550","15,4300",245.453,"3.787,81",12/04/2018,09:02
SIEMENS GAME,"13,3900","0,30","13,3900","13,3400",10.841,"144,65",12/04/2018,09:02
TEC.REUNIDAS,"25,3300","0,00","25,3300","25,3300",486,"12,31",12/04/2018,09:00
TELEFONICA,"8,1790","0,12","8,1790","8,1520",165.116,"1.348,33",12/04/2018,09:02
VISCOFAN,"55,1500","0,00","55,1500","55,1000",2.378,"131,03",12/04/2018,09:01
IBEX 35,"9.748,00","0,13","9.748,10","9.723,50",,,12/04/2018,09:03
ABERTIS,"18,2350","-0,03","18,2450","18,2300",293.179,"5.347,64",12/04/2018,09:03
ACCIONA,"65,6400","-0,45","65,7200","65,6400",535,"35,16",12/04/2018,09:00
ACERINOX,"11,5500","0,00","11,5500","11,5350",8.057,"92,95",12/04/2018,09:03
ACS,"33,1500","0,45","33,1500","33,0300",12.091,"399,65",12/04/2018,09:03
AENA,"171,3500","-0,17","171,3500","171,3500",1.558,"266,96",12/04/2018,09:00
AMADEUS,"61,7600","0,29","61,7600","61,5400",10.907,"671,48",12/04/2018,09:03
